,indice,data,Real,Previsto
0,EPU,2019-06-01,146.9916077,165.4755401611328
1,EPU,2019-07-01,79.83703613,163.51458740234375
2,EPU,2019-08-01,161.1781158,143.94137573242188
3,EPU,2019-09-01,187.5530548,143.0684356689453
4,EPU,2019-10-01,178.1993713,143.88995361328125
5,EPU,2019-11-01,171.0523834,151.69189453125
6,EPU,2019-12-01,183.1856079,174.4957275390625
7,EPU,2020-01-01,130.7153625,179.9976043701172
8,EPU,2020-02-01,232.2531891,165.78817749023438
9,EPU,2020-03-01,368.8998413,179.3016357421875
10,EPU,2020-04-01,312.1482849,228.7635040283203
11,EPU,2020-05-01,308.7680969,261.0041809082031
12,EPU,2020-06-01,115.9407883,305.517333984375
13,EPU,2020-07-01,170.9839478,276.4392395019531
14,EPU,2020-08-01,263.1350098,226.9602813720703
15,EPU,2020-09-01,227.6854248,214.70697021484375
16,EPU,2020-10-01,345.43573,194.43629455566406
17,EPU,2020-11-01,265.0497437,251.81002807617188
18,EPU,2020-12-01,324.883728,275.32647705078125
19,EPU,2021-01-01,204.1461182,290.763671875
20,EPU,2021-02-01,201.5782471,284.87884521484375
21,EPU,2021-03-01,184.384201,248.91445922851562
22,EPU,2021-04-01,143.5060425,228.74807739257812
23,EPU,2021-05-01,118.7552872,183.40365600585938
24,EPU,2021-06-01,,162.0559539794922
25,EPU,2021-07-01,,148.88185119628906
26,IBC_BR,2019-06-01,139.16,138.8333282470703
27,IBC_BR,2019-07-01,138.43,139.0433349609375
28,IBC_BR,2019-08-01,137.62,138.9199981689453
29,IBC_BR,2019-09-01,138.34,138.40333557128906
30,IBC_BR,2019-10-01,138.67,138.12998962402344
31,IBC_BR,2019-11-01,138.45,138.2100067138672
32,IBC_BR,2019-12-01,138.0,138.48667907714844
33,IBC_BR,2020-01-01,138.2,138.3733367919922
34,IBC_BR,2020-02-01,139.35,138.2166748046875
35,IBC_BR,2020-03-01,133.07,138.5166778564453
36,IBC_BR,2020-04-01,120.43,136.8733367919922
37,IBC_BR,2020-05-01,121.92,130.9499969482422
38,IBC_BR,2020-06-01,128.25,125.1399917602539
39,IBC_BR,2020-07-01,131.48,123.53333282470703
40,IBC_BR,2020-08-01,133.2,127.21666717529297
41,IBC_BR,2020-09-01,135.36,130.97666931152344
42,IBC_BR,2020-10-01,136.63,133.34666442871094
43,IBC_BR,2020-11-01,137.46,135.06333923339844
44,IBC_BR,2020-12-01,138.17,136.48333740234375
45,IBC_BR,2021-01-01,139.01,137.4199981689453
46,IBC_BR,2021-02-01,141.31,138.2133331298828
47,IBC_BR,2021-03-01,139.04,139.4966583251953
48,IBC_BR,2021-04-01,139.65,139.7866668701172
49,IBC_BR,2021-05-01,,139.99998474121094
50,IBC_BR,2021-06-01,,139.34500122070312
51,IBC_BR,2021-07-01,,139.64999389648438
52,ICE,2019-06-01,93.5,94.13333129882812
53,ICE,2019-07-01,94.6,93.86666870117188
54,ICE,2019-08-01,94.4,93.70000457763672
55,ICE,2019-09-01,94.6,94.16666412353516
56,ICE,2019-10-01,94.4,94.53333282470703
57,ICE,2019-11-01,94.9,94.46666717529297
58,ICE,2019-12-01,95.9,94.63333129882812
59,ICE,2020-01-01,96.4,95.0666732788086
60,ICE,2020-02-01,95.8,95.73333740234375
61,ICE,2020-03-01,89.6,96.03333282470703
62,ICE,2020-04-01,55.9,93.93334197998047
63,ICE,2020-05-01,65.6,80.4333267211914
64,ICE,2020-06-01,80.4,70.36666870117188
65,ICE,2020-07-01,87.4,67.29999542236328
66,ICE,2020-08-01,94.4,77.79999542236328
67,ICE,2020-09-01,97.5,87.4000015258789
68,ICE,2020-10-01,97.1,93.0999984741211
69,ICE,2020-11-01,95.5,96.33333587646484
70,ICE,2020-12-01,95.1,96.70000457763672
71,ICE,2021-01-01,92.9,95.9000015258789
72,ICE,2021-02-01,91.1,94.5
73,ICE,2021-03-01,85.5,93.03333282470703
74,ICE,2021-04-01,89.8,89.83333587646484
75,ICE,2021-05-01,97.7,88.80001068115234
76,ICE,2021-06-01,,91.0
77,ICE,2021-07-01,,93.75
78,IE-E,2019-06-01,95.6,97.0666732788086
79,IE-E,2019-07-01,96.8,96.33333587646484
80,IE-E,2019-08-01,96.7,95.9333267211914
81,IE-E,2019-09-01,97.8,96.36666107177734
82,IE-E,2019-10-01,97.9,97.0999984741211
83,IE-E,2019-11-01,99.1,97.46666717529297
84,IE-E,2019-12-01,100.1,98.26667022705078
85,IE-E,2020-01-01,100.8,99.03333282470703
86,IE-E,2020-02-01,101.3,100.0
87,IE-E,2020-03-01,86.7,100.73333740234375
88,IE-E,2020-04-01,50.3,96.26666259765625
89,IE-E,2020-05-01,62.6,79.43333435058594
90,IE-E,2020-06-01,82.9,66.53333282470703
91,IE-E,2020-07-01,90.0,65.26666259765625
92,IE-E,2020-08-01,96.6,78.5
93,IE-E,2020-09-01,101.4,89.83333587646484
94,IE-E,2020-10-01,98.3,96.0
95,IE-E,2020-11-01,94.2,98.76666259765625
96,IE-E,2020-12-01,94.5,97.9666748046875
97,IE-E,2021-01-01,92.7,95.66666412353516
98,IE-E,2021-02-01,91.8,93.79999542236328
99,IE-E,2021-03-01,,93.0
100,IE-E,2021-04-01,,92.25
101,IE-E,2021-05-01,,91.80000305175781
102,IE-E,2021-06-01,,
103,IE-E,2021-07-01,,
104,IPCA,2019-06-01,0.01,0.4833333194255829
105,IPCA,2019-07-01,0.19,0.23666666448116302
