,Indice,Nd,Regressao,tsw,Ano,Mês,Previsão,Eroo,EQM(%)
0,IBC_BR,0,rf,0,2021,5,140.0811700000001,0.6566644863245867,4.34
1,IBC_BR,0,rf,0,2021,6,139.67263710750007,0.5762906002565391,4.34
0,IBC_BR,1,rf,0,2021,5,142.08107500000006,0.6901373170427577,3.75
1,IBC_BR,1,rf,0,2021,6,139.7836530312501,0.6473884455840834,3.75
0,ICE,0,rf,0,2021,6,94.10489999999993,1.1595655177695101,12.44
0,ICE,1,rf,0,2021,6,92.46379999999992,1.270875587931395,10.26
0,IE_E,0,rf,0,2021,3,89.84877500000002,1.7294952802407475,10.83
1,IE_E,0,rf,0,2021,4,92.45989080000007,2.3508271689519873,10.83
2,IE_E,0,rf,0,2021,5,92.83296152330004,1.2423717998861201,10.83
3,IE_E,0,rf,0,2021,6,93.13168878656428,0.8749629437598401,10.83
0,IE_E,1,rf,0,2021,3,88.80380000000002,1.6020529984991276,11.04
1,IE_E,1,rf,0,2021,4,89.03167634999997,1.2212553870363927,11.04
2,IE_E,1,rf,0,2021,5,88.39661394691242,0.8513440414871849,11.04
3,IE_E,1,rf,0,2021,6,90.69131944004548,1.0006794536130792,11.04
0,IPCA,0,rf,0,2021,6,0.5055224999999999,0.1560744077155187,225.1
0,IPCA,1,rf,0,2021,6,0.4712824999999999,0.14595560264597596,300.35
0,EPU,0,rf,0,2021,6,164.54357279690748,21.20815408094503,66.94
0,EPU,1,rf,0,2021,6,178.68240890260995,16.04970544808328,67.52
0,ISA_E,0,rf,0,2021,3,90.89795,2.420805702137149,12.75
1,ISA_E,0,rf,0,2021,4,94.01832366250001,3.1235391074445347,12.75
2,ISA_E,0,rf,0,2021,5,94.43342608357496,1.3862687998414487,12.75
3,ISA_E,0,rf,0,2021,6,94.70406317736771,1.0121032334234121,12.75
0,ISA_E,1,rf,0,2021,3,89.37722499999998,2.343904130798569,11.05
1,ISA_E,1,rf,0,2021,4,89.45002351250002,1.7414990398608883,11.05
2,ISA_E,1,rf,0,2021,5,89.35540153065313,0.9311243663059638,11.05
3,ISA_E,1,rf,0,2021,6,92.57625391596216,1.4490396147647286,11.05
0,selic,0,rf,0,2021,6,2.2693425000000014,0.618092760387752,86.0
0,selic,1,rf,0,2021,6,2.341342500000001,0.4043790127389773,99.59
0,IBC_BR,0,knn,0,2021,5,139.21875,0.41387309347190404,5.02
1,IBC_BR,0,knn,0,2021,6,139.2215,0.9446589662412574,5.02
0,IBC_BR,1,knn,0,2021,5,139.62275,0.9787389526835073,4.78
1,IBC_BR,1,knn,0,2021,6,139.11866249999997,0.234039196436732,4.78
0,ICE,0,knn,0,2021,6,92.425,3.066492295767268,14.77
0,ICE,1,knn,0,2021,6,94.155,2.5895897358462006,12.84
0,IE_E,0,knn,0,2021,3,90.14,3.3199999999999985,15.89
1,IE_E,0,knn,0,2021,4,90.192,1.0894108499551478,15.89
2,IE_E,0,knn,0,2021,5,90.1893,1.201942224069027,15.89
3,IE_E,0,knn,0,2021,6,91.81755749999999,1.2026259680148896,15.89
0,IE_E,1,knn,0,2021,3,90.88,2.0901196138020404,14.82
1,IE_E,1,knn,0,2021,4,91.453,0.9241379767112695,14.82
2,IE_E,1,knn,0,2021,5,90.9583,0.8373899987461036,14.82
3,IE_E,1,knn,0,2021,6,92.183985,0.7922988847493133,14.82
0,IPCA,0,knn,0,2021,6,0.4,0.26057628441590763,249.89
0,IPCA,1,knn,0,2021,6,0.366,0.23199999999999996,278.1
0,EPU,0,knn,0,2021,6,182.30436251999998,36.818467483293205,76.74
0,EPU,1,knn,0,2021,6,193.59698527749998,26.82478332211683,76.06
0,ISA_E,0,knn,0,2021,3,91.3275,3.610746979504384,15.61
1,ISA_E,0,knn,0,2021,4,91.38700000000001,1.3800492744826196,15.61
2,ISA_E,0,knn,0,2021,5,91.5421875,0.6195784321566974,15.61
3,ISA_E,0,knn,0,2021,6,94.241253125,1.7199107890966807,15.61
0,ISA_E,1,knn,0,2021,3,91.8525,2.887471861334759,13.27
1,ISA_E,1,knn,0,2021,4,92.3416875,2.0929182965643363,13.27
2,ISA_E,1,knn,0,2021,5,92.03170937500002,0.4683213057505731,13.27
3,ISA_E,1,knn,0,2021,6,94.817505859375,1.1494368954565508,13.27
0,selic,0,knn,0,2021,6,1.8075000000000003,0.10846082241989505,94.72
0,selic,1,knn,0,2021,6,1.8265,0.17932582078440354,97.23
0,IBC_BR,0,gb,0,2021,5,139.7276151171834,0.585261418538642,4.47
1,IBC_BR,0,gb,0,2021,6,139.5453308640424,0.22585524458667708,4.47
0,IBC_BR,1,gb,0,2021,5,141.2592597338666,0.8427284911339237,4.08
1,IBC_BR,1,gb,0,2021,6,139.4692213203753,0.4088339750799423,4.08
0,ICE,0,gb,0,2021,6,93.9410970978612,1.8326232254602672,13.14
0,ICE,1,gb,0,2021,6,92.75451773554275,1.5503923625521208,11.56
